,subject,condition,stimulus,memory_condition,phase,buttonPressedCertainty,Low,High,Low_and_High
10453,124,CS-,animals/malaysianjunglenymph.jpg,New,4,3,0,0,0
10454,124,CS+,tools/ropeandpulley.jpg,Old,1,2,1,0,1
10455,124,CS+,tools/measuringtape.jpg,Old,3,2,1,0,1
10456,124,CS-,animals/armadillo.jpg,New,4,2,1,0,1
10457,124,CS-,animals/pigeon.jpg,Old,1,1,0,1,1
10458,124,CS-,animals/herring.jpg,Old,2,1,0,1,1
10459,124,CS-,animals/goldfish.jpg,Old,3,3,0,0,0
10460,124,CS-,animals/tragopan.jpg,New,4,3,0,0,0
10461,124,CS-,animals/owl.jpg,New,4,4,0,0,0
10462,124,CS+,tools/scratchawl.jpg,New,4,2,1,0,1
10463,124,CS-,animals/mole.jpg,Old,1,4,0,0,0
10464,124,CS+,tools/gardenhose.jpg,Old,1,1,0,1,1
10465,124,CS+,tools/microwave.jpg,Old,3,3,0,0,0
10466,124,CS+,tools/sawblade.jpg,New,4,4,0,0,0
10467,124,CS-,animals/firebug.jpg,Old,2,1,0,1,1
10468,124,CS-,animals/caracal.jpg,New,4,4,0,0,0
10469,124,CS+,tools/edger.jpg,Old,3,3,0,0,0
10470,124,CS+,tools/stapler.jpg,New,4,2,1,0,1
10471,124,CS+,tools/battery.jpg,New,4,3,0,0,0
10472,124,CS+,tools/levelmount.jpg,Old,2,4,0,0,0
10473,124,CS-,animals/boar.jpg,Old,1,1,0,1,1
10474,124,CS-,animals/marmot.jpg,Old,3,3,0,0,0
10475,124,CS-,animals/marlin.jpg,New,4,1,0,1,1
10476,124,CS-,animals/flamingo.jpg,Old,3,2,1,0,1
10477,124,CS-,animals/sheep.jpg,Old,2,4,0,0,0
10478,124,CS+,tools/thermometer.jpg,Old,2,3,0,0,0
10479,124,CS+,tools/rollingpin.jpg,Old,1,4,0,0,0
10480,124,CS+,tools/eraser.jpg,Old,2,1,0,1,1
10481,124,CS-,animals/herculesbeetle.jpg,Old,1,1,0,1,1
10482,124,CS-,animals/gecko.jpg,New,4,3,0,0,0
10483,124,CS-,animals/cod.jpg,New,4,2,1,0,1
10484,124,CS+,tools/wheelbarrow.jpg,Old,1,3,0,0,0
10485,124,CS+,tools/shoehorn.jpg,Old,1,3,0,0,0
10486,124,CS+,tools/videogamecontroller.jpg,Old,3,4,0,0,0
10487,124,CS-,animals/halibut.jpg,Old,3,2,1,0,1
