trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
137,2,animal,0,1,animals,1,a_057.png,57,tbd,659.871618488562,662.123457137486,663.357788215466,1.16169878250296,0,1,1.18598583923995,4,0.851619191775171
138,2,tool,0,1,animals,1,t_249.png,249,tbd,664.225151674667,666.643800528153,667.56120586008,1.3220409171854,0,2,0.873782953492992,1,0.828403808918665
139,4,tool,0,0,animals,1,t_304.png,304,tbd,668.395223876874,671.380981467624,672.164946731567,1.89942081778723,0,2,0.734722636592778,3,0.65083059639619
140,4,animal,0,0,animals,1,a_038.png,38,tbd,672.832159452646,675.117361766523,675.634443091389,1.18437370286229,0,2,0.466528496001047,4,0.733471115909197
141,2,tool,0,1,animals,1,t_189.png,189,tbd,676.38505230382,678.953802042824,680.638499298873,1.48144266672203,0,1,1.64327715396576,4,1.2006563861014
142,4,animal,0,0,animals,1,a_160.png,160,tbd,681.856162280243,684.491629718288,684.975366631108,1.53967492351151,0,1,0.430641815120907,4,0.490915645634232
143,1,animal,0,1,animals,1,a_135.png,135,tbd,685.475778546755,688.077888188493,690.062835687419,1.50355881059338,0,1,1.94455426447348,3,0.343609028652281
144,1,tool,0,1,animals,1,t_283.png,283,tbd,690.413120876754,692.664951925866,693.265448731188,1.14766591280938,0,1,0.545817000451279,4,0.74418389600396
145,4,tool,0,0,animals,1,t_294.png,294,tbd,694.016044279519,696.3012341986,696.868364465987,1.19330708989532,0,2,0.52244539250205,3,0.438528348624459
146,3,tool,0,1,animals,1,t_248.png,248,tbd,697.318727771077,699.770729259446,700.171051289979,1.36066344487937,0,2,0.354081146215322,1,2.20885743532017
147,4,tool,0,0,animals,1,t_319.png,319,tbd,702.389529440403,704.758110607627,705.291886286055,1.28302417595133,0,2,0.485885798860181,3,1.19417666584013
148,4,tool,0,0,animals,1,t_221.png,221,tbd,706.492854590724,709.461938379794,711.613681092942,1.88488100533879,0,2,2.11030183386538,3,0.423587003795546
