"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
291,1,"tool",0,1,"tools","t_195.png",195,"tbd",673.672887435286,NA,NA,0.24912215036044,0,"1",NA,"1",NA
292,4,"tool",0,0,"tools","t_256.png",256,"tbd",675.340713972265,NA,NA,0.732605119502499,0,"2",NA,"1",NA
293,4,"tool",0,0,"tools","t_251.png",251,"tbd",677.442310960666,NA,NA,0.151887290881688,0,"2",NA,"1",NA
294,4,"animal",0,0,"tools","a_142.png",142,"tbd",679.460463532337,NA,NA,0.871669138769704,0,"2",NA,"4",NA
295,4,"tool",0,0,"tools","t_337.png",337,"tbd",682.629459477352,NA,NA,0.479136461674942,0,"1",NA,"4",NA
296,3,"animal",0,1,"tools","a_112.png",112,"tbd",685.214625971822,NA,NA,0.368957952820146,0,"1",NA,"1",NA
297,1,"tool",0,1,"tools","t_267.png",267,"tbd",687.116072865457,NA,NA,0.764738124501303,0,"1",NA,"1",NA
298,3,"tool",0,1,"tools","t_330.png",330,"tbd",689.384400692828,NA,NA,0.481352384115295,0,"2",NA,"1",NA
299,4,"animal",0,0,"tools","a_060.png",60,"tbd",691.852869595593,NA,NA,0.229011417325503,0,"2",NA,"4",NA
300,4,"animal",0,0,"tools","a_055.png",55,"tbd",693.470710781273,NA,NA,0.623453325288644,0,"2",NA,"4",NA
301,3,"animal",0,1,"tools","a_017.png",17,"tbd",696.239427063601,NA,NA,0.848138736812222,0,"1",NA,"1",NA
302,4,"tool",0,0,"tools","t_304.png",304,"tbd",698.757947252373,NA,NA,0.462172380323725,0,"2",NA,"1",NA
303,4,"tool",0,0,"tools","t_239.png",239,"tbd",700.559286908803,NA,NA,0.72439780179847,0,"2",NA,"1",NA
304,4,"animal",0,0,"tools","a_086.png",86,"tbd",702.644137725305,NA,NA,0.989599710423614,0,"2",NA,"1",NA
305,4,"tool",0,0,"tools","t_207.png",207,"tbd",705.045899674883,NA,NA,0.997382528911751,0,"2",NA,"1",NA
306,4,"animal",0,0,"tools","a_066.png",66,"tbd",707.414319810845,NA,NA,0.596902308857365,0,"1",NA,"1",NA
307,3,"animal",0,1,"tools","a_146.png",146,"tbd",709.882747037899,NA,NA,0.603085324720953,0,"2",NA,"1",NA
308,4,"animal",0,0,"tools","a_164.png",164,"tbd",711.900928533758,NA,NA,0.455911349205001,0,"2",NA,"1",NA
309,4,"animal",0,0,"tools","a_064.png",64,"tbd",713.768960214764,NA,NA,0.172211792721677,0,"2",NA,"1",NA
310,1,"animal",0,1,"tools","a_042.png",42,"tbd",715.636990962731,NA,NA,0.733918442500825,0,"1",NA,"1",NA
311,4,"animal",0,0,"tools","a_082.png",82,"tbd",717.705186423064,NA,NA,0.0505979696285057,0,"2",NA,"4",NA
312,2,"tool",0,1,"tools","t_324.png",324,"tbd",720.390485968798,NA,NA,0.378413848267147,0,"1",NA,"4",NA
313,4,"tool",0,0,"tools","t_339.png",339,"tbd",722.141703117296,NA,NA,0.136370328586508,0,"2",NA,"1",NA
314,1,"animal",0,1,"tools","a_014.png",14,"tbd",723.79299683714,NA,NA,0.89569434883455,0,"1",NA,"4",NA
315,4,"animal",0,0,"tools","a_049.png",49,"tbd",726.078004590688,NA,NA,0.706504155408035,0,"2",NA,"1",NA
316,4,"tool",0,0,"tools","t_328.png",328,"tbd",728.679885844767,NA,NA,0.240260335773285,0,"2",NA,"1",NA
317,4,"tool",0,0,"tools","t_196.png",196,"tbd",730.531190947678,NA,NA,0.644099282549458,0,"2",NA,"1",NA
318,2,"animal",0,1,"tools","a_100.png",100,"tbd",732.566090313274,NA,NA,0.573063962891521,0,"2",NA,"1",NA
319,4,"animal",0,0,"tools","a_121.png",121,"tbd",734.534195331092,NA,NA,0.424340103061451,0,"1",NA,"1",NA
320,4,"tool",0,0,"tools","t_333.png",333,"tbd",736.402239452608,NA,NA,0.124049348502448,0,"2",NA,"1",NA
321,1,"tool",0,1,"tools","t_260.png",260,"tbd",738.02007068588,NA,NA,0.0164299455092052,0,"1",NA,"4",NA
322,3,"animal",0,1,"tools","a_023.png",23,"tbd",739.437797543263,NA,NA,0.781305645048452,0,"1",NA,"4",NA
323,4,"animal",0,0,"tools","a_046.png",46,"tbd",741.589379260937,NA,NA,0.632616420307413,0,"2",NA,"4",NA
324,3,"animal",0,1,"tools","a_127.png",127,"tbd",743.590840709971,NA,NA,0.175426388954516,0,"2",NA,"4",NA
325,1,"tool",0,1,"tools","t_297.png",297,"tbd",745.191993261115,NA,NA,0.916071354059311,0,"1",NA,"1",NA
326,4,"animal",0,0,"tools","a_071.png",71,"tbd",747.543730360772,NA,NA,0.73437557767442,0,"2",NA,"1",NA
327,4,"animal",0,0,"tools","a_077.png",77,"tbd",749.711965257525,NA,NA,0.439438914389031,0,"2",NA,"4",NA
328,3,"animal",0,1,"tools","a_107.png",107,"tbd",751.529977997852,NA,NA,0.274787040149192,0,"2",NA,"4",NA
329,4,"tool",0,0,"tools","t_357.png",357,"tbd",753.197882288024,NA,NA,0.550595803452557,0,"2",NA,"4",NA
330,4,"animal",0,0,"tools","a_143.png",143,"tbd",755.06593636195,NA,NA,0.577857263982209,0,"2",NA,"4",NA
331,1,"tool",0,1,"tools","t_284.png",284,"tbd",757.050706377333,NA,NA,0.891115910821966,0,"2",NA,"1",NA
332,4,"tool",0,0,"tools","t_316.png",316,"tbd",759.819413640289,NA,NA,0.10863820966834,0,"2",NA,"1",NA
333,4,"animal",0,0,"tools","a_111.png",111,"tbd",761.270471736854,NA,NA,0.105367221904129,0,"2",NA,"1",NA
334,4,"tool",0,0,"tools","t_301.png",301,"tbd",763.655563090636,NA,NA,0.0560185201826211,0,"2",NA,"4",NA
335,2,"animal",0,1,"tools","a_169.png",169,"tbd",765.306767860826,NA,NA,0.438449876523121,0,"1",NA,"4",NA
336,1,"animal",0,1,"tools","a_059.png",59,"tbd",767.174807317151,NA,NA,0.370494324638903,0,"1",NA,"1",NA
