"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
51,4,"tool",0,0,"animals",1,"t_290.png",290,"tbd",161.522436227594,162.839920256216,163.156875559995,0.231079950110306,0,2,0.261168512642143,4,0.782227467639132
52,1,"animal",0,1,"animals",1,"a_056.png",56,"tbd",163.957569931221,165.275023169396,165.575300003504,0.241334450093823,0,1,0.262081029519322,3,0.70987427197997
53,3,"tool",0,1,"animals",1,"t_330.png",330,"tbd",166.292609490725,168.060463206868,168.410780737237,0.677790307591052,0,1,0.303784979061675,4,0.721503419398687
54,4,"animal",0,0,"animals",1,"a_012.png",12,"tbd",169.144711467441,170.87920482308,171.279510488243,0.646377709477026,0,2,0.36214282812216,3,0.733885222181925
55,4,"animal",0,0,"animals",1,"a_021.png",21,"tbd",172.03023320845,173.56456440107,174.398487262604,0.441108398144352,0,2,0.782913254863161,1,1.52302477848207
56,4,"animal",0,0,"animals",1,"a_155.png",155,"tbd",175.933093392142,178.017822792322,178.317994503491,0.997390827244663,0,1,0.254868289614024,4,0.621615788978488
57,2,"animal",0,1,"animals",1,"a_005.png",5,"tbd",178.951943676861,180.669790908349,181.470382022723,0.622406394734384,0,1,0.747919445608204,4,0.24335546166003
58,4,"animal",0,0,"animals",1,"a_020.png",20,"tbd",181.720666989862,183.45519393508,183.521881999553,0.638331367862528,0,1,0.0265854292865697,4,0.657908084244809
59,3,"animal",0,1,"animals",1,"a_100.png",100,"tbd",184.189190600382,185.323241631037,186.007070084085,0.0385094107458145,0,1,0.625649026487736,4,0.522803025062785
60,4,"animal",0,0,"animals",1,"a_058.png",58,"tbd",186.540921692171,188.475605824174,188.792493948796,0.841163732955951,0,2,0.270358994475828,3,0.682476061620036
61,1,"tool",0,1,"animals",1,"t_293.png",293,"tbd",189.493080802271,191.044154222557,191.477812472857,0.455298177080209,0,1,0.38088612381398,4,0.564256296827807
