trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
179,4,animal,0,0,tools,1,a_098.png,98,tbd,581.697495962009,583.565663668852,585.817458574561,0.767573141070769,0,2,2.19462274334683,4,0.75290840110938
180,1,animal,0,1,tools,1,a_146.png,146,tbd,586.584612215744,588.602805373516,589.10335081984,0.883106003887965,0,1,0.447605476090985,4,0.321943004341165
181,2,animal,0,1,tools,1,a_031.png,31,tbd,589.436885658536,591.388372491744,591.888692208033,0.798271360406795,0,1,0.436009939761107,4,0.224755296302419
182,1,tool,0,1,tools,1,t_219.png,219,tbd,592.122236586067,594.240670602469,597.793569142355,0.99783875647958,0,1,3.50287570747014,1,0.46189658090907
183,4,animal,0,0,tools,1,a_027.png,27,tbd,598.260530157084,599.828535579745,600.195458398447,0.458460679560425,0,2,0.314972621628385,3,1.13515393569855
184,1,animal,0,1,tools,1,a_162.png,162,tbd,601.346308719246,602.697293190526,603.89826384098,0.241931867352981,0,1,1.14328538139353,4,0.344422571932455
185,4,tool,0,0,tools,1,t_201.png,201,tbd,604.265375538347,606.333591392879,607.751436462073,0.953393073325923,0,2,1.36303675765998,3,0.305218569729959
186,1,tool,0,1,tools,1,t_332.png,332,tbd,608.068298537327,609.519523150879,610.65366261038,0.32318717463461,0,1,1.07227297632653,3,0.619145633921789
187,1,animal,0,1,tools,1,a_100.png,100,tbd,611.287518213723,613.355873828221,614.173200161597,0.961054374220695,0,1,0.754893581904753,4,0.425648281440544
188,4,animal,0,0,tools,1,a_054.png,54,tbd,614.606815926108,616.057943082879,616.925321738928,0.333132496007898,0,1,0.805884391523023,2,0.954486790071996
189,4,tool,0,0,tools,1,t_220.png,220,tbd,617.892747104002,619.327320725675,621.128635555679,0.322307923891669,0,1,1.76365878940919,3,0.530365517965492
190,4,tool,0,0,tools,1,t_338.png,338,tbd,621.662361588708,623.68073461653,624.247895602759,0.897542504893173,0,2,0.503159293506769,3,0.897137833713941
191,4,tool,0,0,tools,1,t_248.png,248,tbd,625.148487071498,626.833238329066,627.400384447897,0.575465784088619,0,2,0.502775247222189,3,0.724586212076929
192,4,tool,0,0,tools,1,t_358.png,358,tbd,628.134179925978,629.702134446782,629.985708108021,0.454783647214384,0,2,0.220015197612838,3,0.294448306667846
193,2,animal,0,1,tools,1,a_174.png,174,tbd,630.285890181288,631.620258422484,632.521043097188,0.207131146250313,0,1,0.849945052267685,4,0.430091368930562
194,4,animal,0,0,tools,1,a_070.png,70,tbd,632.97133971332,634.922957943435,634.972997284207,0.829356779780867,0,1,0.0150821696238381,4,0.313181533320858
195,4,tool,0,0,tools,1,t_340.png,340,tbd,635.306525337139,637.041310297434,638.075412558691,0.620822115789945,0,1,0.990946327610573,2,0.419824763070892
196,2,tool,0,1,tools,1,t_224.png,224,tbd,638.509072200709,639.760127518222,640.510772698916,0.133315636951594,0,1,0.695112766548164,4,0.886600130479565
197,3,tool,0,1,tools,1,t_190.png,190,tbd,641.411361518203,642.628937242838,643.12944637625,0.0894144719927523,0,1,0.451462013554419,4,0.35608486340243
198,4,animal,0,0,tools,1,a_132.png,132,tbd,643.496346693941,644.947539592003,648.333564643105,0.328009977843267,0,1,3.32292100400741,2,1.07291184962219
199,4,animal,0,0,tools,1,a_083.png,83,tbd,649.417702321231,651.102475137954,651.569215607912,0.55539134817827,0,1,0.418069127331592,1,0.299333044767309
200,3,animal,0,1,tools,1,a_144.png,144,tbd,651.886329597742,653.504372001479,654.288340214592,0.491259397345188,0,1,0.732071567945695,4,0.503173802131187
