trial,phase,object,toShock,seenBefore,shockedCategory,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
31,2,tool,1,0,tools,t_292.png,292,tbd,370.862606756742,379.294321048688,8.3664840475749,0,1.74820492786239,1,2,0
32,2,tool,1,0,tools,t_250.png,250,tbd,384.060299882563,392.042112127816,7.92503289919056,1,1.55694868790988,1,1,1
33,2,animal,0,0,tools,a_110.png,110,tbd,396.791349734189,404.23989602242,7.39202249075089,0,0.762737234492761,0,2,1
34,2,tool,1,0,tools,t_211.png,211,tbd,408.822578044299,416.104501393109,7.22378027503205,1,1.28767234924635,1,1,1
35,2,animal,0,0,tools,a_035.png,35,tbd,420.887097328977,429.435491202629,8.49213669522457,0,0.613338232885326,0,2,1
36,2,animal,0,0,tools,a_147.png,147,tbd,434.001440015451,443.233016197722,9.17137377214227,0,0.617465165491012,0,2,1
37,2,animal,0,0,tools,a_048.png,48,tbd,447.799004461286,454.114451319532,6.2527546933962,0,0.676484439263277,0,2,1
38,2,tool,1,0,tools,t_309.png,309,tbd,458.663718241334,467.812008131809,9.09237733230913,0,1.134664406497,1,2,0
39,2,animal,0,0,tools,a_019.png,19,tbd,472.577949118629,482.209504196357,9.57066703862034,0,0.936813156966764,0,2,1
40,2,animal,0,0,tools,a_090.png,90,tbd,486.775390786055,495.557116239674,8.71149287645938,0,0.780822353159692,0,2,1
41,2,tool,0,0,tools,t_216.png,216,tbd,500.123047411919,509.737944333222,9.55123856817917,1,0.845669752553931,0,1,0
42,2,tool,1,0,tools,t_210.png,210,tbd,514.303921370965,523.452067570928,9.09969127830041,1,0.822120545610233,1,1,1
43,2,animal,0,0,tools,a_081.png,81,tbd,528.201419359939,535.283419493366,7.02011576351734,0,0.704388623351861,0,2,1
44,2,tool,1,0,tools,t_306.png,306,tbd,539.849406794717,547.797886369496,7.89340603692412,1,0.759406372978447,1,1,1
45,2,tool,1,0,tools,t_322.png,322,tbd,552.547170162105,562.245316490363,9.6330347793195,0,1.05075107240282,1,2,0
46,2,tool,1,0,tools,t_205.png,205,tbd,567.011225724146,577.042622742311,9.98732757688547,1,0.860164853605511,1,1,1
47,2,animal,0,0,tools,a_065.png,65,tbd,581.808676949557,589.923770162361,8.05570871020346,0,0.565532592263025,0,2,1
48,2,animal,0,0,tools,a_075.png,75,tbd,594.473067233512,601.255068200857,6.72502499374589,0,0.628778868818699,0,2,1
49,2,animal,0,0,tools,a_094.png,94,tbd,605.804400553161,615.585900848881,9.71852446706696,0,0.786677420751857,0,2,1
50,2,tool,0,0,tools,t_303.png,303,tbd,620.151880773264,628.316790652371,8.10193054341403,1,0.863461075442956,0,1,0
51,2,tool,1,0,tools,t_237.png,237,tbd,632.866296844534,642.147814460093,9.22161889918322,0,0.620027218622909,1,2,0
52,2,animal,0,0,tools,a_154.png,154,tbd,646.913829858071,656.39532232779,9.4229930880847,0,0.741145490026156,0,2,1
53,2,animal,0,0,tools,a_049.png,49,tbd,660.944635435828,670.776139067221,9.78196888869409,0,0.647046166526252,0,2,1
54,2,animal,0,0,tools,a_010.png,10,tbd,675.342121878244,684.373728979634,8.97931890041782,0,0.77510167468381,0,2,1
55,2,tool,0,0,tools,t_334.png,334,tbd,688.93968003762,697.48808128824,8.49072075832822,1,0.750357398890628,0,1,0
56,2,tool,0,0,tools,t_188.png,188,tbd,702.054066344427,711.818903672656,9.70730746111762,1,0.570160517231216,0,1,0
57,2,tool,1,0,tools,t_191.png,191,tbd,716.384848315887,725.366483834642,8.92561865346805,1,0.885179832057929,1,1,1
58,2,animal,0,0,tools,a_179.png,179,tbd,730.115779173809,737.397690655322,7.22223477861787,0,0.612679437550923,0,2,1
59,2,animal,0,0,tools,a_002.png,2,tbd,741.963647486587,748.862347600641,6.84648275964286,0,0.88752314204612,0,2,1
60,2,tool,1,0,tools,t_215.png,215,tbd,753.411587259736,760.810225792142,7.32927793903661,1,1.4521732877256,1,1,1
